acc_cell_type,f1_cell_type,dataset,n_cells,n_cell_types,model
0.9757825136184692,0.9759963154792786,Liver,9,5,scDiff-LLM
0.897217869758606,0.8878127336502075,HLCA,9,5,scDiff-Embedding
0.9037550091743468,0.8990874290466309,HLCA,9,5,scDiff-LLM
0.690647304058075,0.6952794790267944,Brain,9,5,scDiff-Embedding
0.771943211555481,0.7587234973907471,Brain,9,5,scDiff-LLM
0.952421247959137,0.9383529424667358,Immune,9,5,scDiff-LLM
0.9054388999938964,0.902328372001648,Immune,9,5,scDiff-Embedding
0.97566419839859,0.9746958613395692,Liver,9,5,scDiff-Embedding
0.9566770792007446,0.9595934152603148,Liver,9,5,scDiff-LLM
0.9054335355758668,0.9016224145889282,HLCA,9,5,scDiff-LLM
0.9005743265151978,0.8906204700469971,HLCA,9,5,scDiff-Embedding
0.768928050994873,0.7481184005737305,Brain,9,5,scDiff-LLM
0.6654412746429443,0.6714162826538086,Brain,9,5,scDiff-Embedding
0.968798279762268,0.9689350724220276,Liver,9,5,scDiff-Embedding
0.9210424423217772,0.9164154529571532,Immune,9,5,scDiff-Embedding
0.9677833318710328,0.969591736793518,Liver,9,5,scDiff-LLM
0.9544233083724976,0.9499045610427856,Immune,9,5,scDiff-LLM
0.8843889236450195,0.8803169131278992,HLCA,8,5,scDiff-LLM
0.8828212022781372,0.8777474164962769,HLCA,8,5,scDiff-Embedding
0.822959303855896,0.8270043730735779,Brain,8,5,scDiff-LLM
0.785660445690155,0.7910698056221008,Brain,8,5,scDiff-Embedding
0.8930442333221436,0.8930858373641968,Immune,8,5,scDiff-Embedding
0.9368423223495485,0.9384949803352356,Immune,8,5,scDiff-LLM
0.9473199248313904,0.9538987278938292,Liver,8,5,scDiff-Embedding
0.9348418712615968,0.9400500059127808,Liver,8,5,scDiff-LLM
0.8888915777206421,0.8830509781837463,HLCA,8,5,scDiff-LLM
0.8842225074768066,0.8760577440261841,HLCA,8,5,scDiff-Embedding
0.8069223165512085,0.8067073822021484,Brain,8,5,scDiff-LLM
0.7758128046989441,0.7607619166374207,Brain,8,5,scDiff-Embedding
0.9357969760894777,0.9372832775115968,Immune,8,5,scDiff-LLM
0.8722827434539795,0.8666390776634216,Immune,8,5,scDiff-Embedding
0.9615881443023682,0.9664072394371032,Liver,8,5,scDiff-LLM
0.9663529396057128,0.968853235244751,Liver,8,5,scDiff-Embedding
0.8898776769638062,0.8874077200889587,HLCA,8,5,scDiff-LLM
0.883651077747345,0.8784471154212952,HLCA,8,5,scDiff-Embedding
0.7797948122024536,0.7850634455680847,Brain,8,5,scDiff-Embedding
0.7943853139877319,0.7814653515815735,Brain,8,5,scDiff-LLM
0.9568563103675842,0.9530620574951172,Immune,8,5,scDiff-LLM
0.8700832724571228,0.8674458265304565,Immune,8,5,scDiff-Embedding
0.963409185409546,0.9678090810775756,Liver,8,5,scDiff-Embedding
0.9684247970581056,0.971102237701416,Liver,8,5,scDiff-LLM
0.8758808374404907,0.8692730665206909,HLCA,8,5,scDiff-Embedding
0.8878524303436279,0.8841837048530579,HLCA,8,5,scDiff-LLM
0.7836209535598755,0.7946569919586182,Brain,8,5,scDiff-Embedding
0.8033601641654968,0.8052533864974976,Brain,8,5,scDiff-LLM
0.9409984946250916,0.9425427913665771,Immune,8,5,scDiff-LLM
0.8839197754859924,0.8805733919143677,Immune,8,5,scDiff-Embedding
